"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1750160558064640178","Wed Jan 24 14:16:08 +0000 2024","8846","Kecerdasan buatan ketika dipertemukan kedunguan alami https://t.co/ewT2hcOkzS","1750160558064640178","https://pbs.twimg.com/media/GEnRsJdX0AAZusm.png","","in","Dongo, Lombardia","607","221","1922","https://x.com/aimr0d/status/1750160558064640178","1682607464326508544","aimr0d"
"1793324033984921966","Wed May 22 16:52:22 +0000 2024","27","USA Elon Musk: Chip Neuralink Antichrist akan segera muncul Tujuan dari proyek Neuralink adalah untuk mengembangkan chip dengan dukungan kecerdasan buatan yang dapat ditanamkan ke dalam otak manusia! https://t.co/f7715ppPky","1793324033984921966","https://pbs.twimg.com/ext_tw_video_thumb/1793323974337908736/pu/img/3iple8LvvWaVsE8p.jpg","","in","","0","2","16","https://x.com/blue_berets7/status/1793324033984921966","1233304674561753088","blue_berets7"
"1793195191794356435","Wed May 22 08:20:24 +0000 2024","6","Kapsul JAPENTV | AI Untuk Rakyat AI Untuk Rakyat - Program pembelajaran kendiri dalam talian yang direka untuk meningkatkan kesedaran orang ramai tentang Kecerdasan Buatan - Artificial Intelligence (AI). Ia bertujuan untuk memberi penjelasan tentang AI kepada masyarakat. https://t.co/pyiFRoOH9Q","1793195191794356435","https://pbs.twimg.com/ext_tw_video_thumb/1793195134039052288/pu/img/q9lgtuMx_2o4tttZ.jpg","","in","","0","0","2","https://x.com/JapenPahang/status/1793195191794356435","1453609310336868356","JapenPahang"
"1792908949441986744","Tue May 21 13:22:58 +0000 2024","63","Bittensor $TAO Fundamental INTRO: Bittensor ($TAO) adalah protokol machine learning terdesentralisasi yang memungkinkan pertukaran kemampuan kecerdasan buatan antar pengguna jaringannya. Tujuannya adalah agar industri yang sedang booming saat ini yaitu Machine Learning dan https://t.co/puB88RtVsn","1792908949441986744","https://pbs.twimg.com/media/GOGvvHwa8AE4AK8.jpg","","in","","0","9","6","https://x.com/andricuanterus/status/1792908949441986744","1445274284000047104","andricuanterus"
"1793134718843802027","Wed May 22 04:20:06 +0000 2024","73","Kapsul JAPENTV | AI Untuk Rakyat AI Untuk Rakyat - Program pembelajaran kendiri dalam talian yang direka untuk meningkatkan kesedaran orang ramai tentang Kecerdasan Buatan - Artificial Intelligence (AI). Ia bertujuan untuk memberi penjelasan tentang AI kepada semua - https://t.co/SHmQKnKuKz","1793134718843802027","https://pbs.twimg.com/ext_tw_video_thumb/1793134586685480960/pu/img/HTio0o46GXwueKg2.jpg","","in","Wilayah Persekutuan Putrajaya","5","3","61","https://x.com/JPenerangan/status/1793134718843802027","114914506","JPenerangan"
"1795382023898677630","Tue May 28 09:10:05 +0000 2024","6","Perdana Menteri YAB Dato' Seri Anwar Ibrahim berkata peruntukan itu selaras dengan seruan agar warga media turut sama mendalami dan menguasai penggunaan teknologi termasuk Kecerdasan Buatan (AI) ketika menjalankan tugasan mereka. #MalaysiaMADANI #JabatanPenerangan https://t.co/7FYkj7a0tK","1795382023898677630","https://pbs.twimg.com/media/GOp6bu_bQAA8Z6K.jpg","","in","Wilayah Persekutuan Putrajaya","1","0","7","https://x.com/JPenerangan/status/1795382023898677630","114914506","JPenerangan"
"1751144829705462130","Sat Jan 27 07:27:16 +0000 2024","15493","Kawan kita satu ini benar-benar mengira Neo Historia adalah media elit global. Padahal pesannya sederhana buat mas @gibran_tweet Hargai seniman manusia. Hormati seni yang dibuat oleh tangan manusia. Paslon 02 sudah sangat notorious dengan penggunaan kecerdasan buatan yang","1751144829705462130","","","in","Pondok Cina, Depok","140","519","2484","https://x.com/neohistoria_id/status/1751144829705462130","1495326248100589569","neohistoria_id"
"1795408502149763539","Tue May 28 10:55:18 +0000 2024","0","Perdana Menteri YAB Dato' Seri Anwar Ibrahim berkata peruntukan itu selaras dengan seruan agar warga media turut sama mendalami dan menguasai penggunaan teknologi termasuk Kecerdasan Buatan (AI) ketika menjalankan tugasan mereka. #MalaysiaMADANI #JabatanPenerangan #JAPENPenang https://t.co/mQTwrAYJlS","1795408502149763539","https://pbs.twimg.com/media/GOqShLXbYAAjZZZ.jpg","","in","Komtar","0","0","0","https://x.com/PenangJapen/status/1795408502149763539","1118760904051441664","PenangJapen"
"1790355807365906674","Tue May 14 12:17:42 +0000 2024","74","Kapsul JAPENTV | AI Untuk Rakyat Program pembelajaran kendiri dalam talian yang direka untuk meningkatkan kesedaran orang ramai tentang Kecerdasan Buatan - Artificial Intelligence (AI). Ia bertujuan untuk memberi penjelasan tentang AI kepada semua lapisan masyarakat. https://t.co/M9amVm1Guw","1790355807365906674","https://pbs.twimg.com/ext_tw_video_thumb/1790355748180103168/pu/img/Bbgd4nuVbMPvjQt6.jpg","","in","Wilayah Persekutuan Putrajaya","5","2","60","https://x.com/JPenerangan/status/1790355807365906674","114914506","JPenerangan"
"1788873952611471802","Fri May 10 10:09:20 +0000 2024","476","Tugasan pada hari Jumaat penuh berkat dimulakan dengan menghadiri seraya merasmikan Majlis Malaysia Artificial Intelligence (AI) Nexus 2024 Boosting the Future (MY AI NEXUS) hari ini. Saya sempat juga melancarkan Fakulti Kecerdasan Buatan Universiti Teknologi Malaysia (UTM) https://t.co/jNDjz0rBMM","1788873952611471802","https://pbs.twimg.com/media/GNNbXqeXsAA4fPv.jpg","","in","Malaysia","2","14","101","https://x.com/anwaribrahim/status/1788873952611471802","1839871","anwaribrahim"
