full_text,tweet_clean,english_text,label
Maybe read this ss again. Penggunaan AI itu harmful banget karena nantinya bisa digunakan buat hal berbahaya termasuk deepfake (mengubah foto atau video muka/badan kalian sebagai orang lain untuk bikin false information) propaganda dan bahkan revenge porn. Kalian ga takut kah? https://t.co/lstBRsYvCE,maybe read this ss again guna ai harmful banget nanti guna buat bahaya masuk deepfake ubah foto video mukabadan kalian orang bikin false information propaganda bahkan revenge porn kalian ga takut,maybe read this ss again for ai harmful later in order to make the dangers of entering DeepFake Change Mukabadan Video Photos.,neutral
Kata Dharma AI itu artificial intelligence. Dari kata intelijen alias mata-mata . Jadi AI itu alat mata-mata buatan untuk mengawasi kita. Problem Jakarta yang kompleks dihadapi dengan teori konspirasi. https://t.co/y7EuvOh8rt,kata dharma ai artificial intelligence kata intelijen alias matamata jadi ai alat matamata buat awas problem jakarta kompleks hadap teori konspirasi,said Dharma AI Artificial Intelligence The word intelligence alias Matamata is a Matamata tool for aware of the Jakarta problem.,negative
Melihat teman-teman di sekitar terlalu bergantung dengan aplikasi ini benar-benar membuat saya kesal. Saya juga yakin bahwa salah satu penyebab otak kebanyakan masyarakat kita lambat berpikirnya adalah karena terlalu banyak dimanja dengan hal-hal yang sifatnya siap saji https://t.co/oH1a5cwUaT,lihat temanteman terlalu gantung aplikasi benarbenar buat kesal yakin salah satu sebab otak banyak masyarakat lambat pikir terlalu banyak manja halhal sifat siap saji,see friends who are too hanging applications are really annoyed to be sure one reason is that the brain many people think too much spoiled happiness,positive
ㅤ Yang paling kena dampaknya mungkin di sektor kayak 𝘮𝘢𝘯𝘶𝘧𝘢𝘤𝘵𝘶𝘳𝘪𝘯𝘨 𝘵𝘳𝘢𝘯𝘴𝘱𝘰𝘳𝘵𝘢𝘵𝘪𝘰𝘯 𝘤𝘶𝘴𝘵𝘰𝘮𝘦𝘳 𝘴𝘦𝘳𝘷𝘪𝘤𝘦 dan lainnya. 𝘉𝘶𝘵 𝘈𝘐 𝘪𝘴 𝘢𝘭𝘴𝘰 𝘤𝘳𝘦𝘢𝘵𝘪𝘯𝘨 𝘯𝘦𝘸 𝘰𝘱𝘱𝘰𝘳𝘵𝘶𝘯𝘪𝘵𝘪𝘦𝘴! ㅤ https://t.co/vZExfU7pmA, paling kena dampak mungkin sektor kayak     lain        ,the most affected may be the other sectors,positive
Bayangin urusan riil problema AI: - pengembangannya tidak etis mencuri karya seniman - berkurangnya pekerjaan artist - AI memudahkan narasi hoax - dan problem etis / legal lain Gak ada yang terbahas tapi malah jadi kesempatan untuk merundung ramai2. Mentalitas MOB https://t.co/Ev7Ol320Qz,bayangin urus riil problema ai kembang etis curi karya seniman kurang kerja artist ai mudah narasi hoax problem etis legal gak bahas malah jadi sempat rundung ramai mentalitas mob,Imagine Urus Real Problema AI Ethical Flower Stolen The work of artists lacking work artist AI Easy Narrative Hoax Problem Ethical Legal does not discuss it so it was able to rundung crowded with the mentality of the mob,positive
Tujuan knp AI itu dibuat adlh spy utk meng-augment human intelligence bkn me-replacenya. Output AI tergantung siapa yg mendesain dan melatihnya. Dlm bidang agama salah 1 field yg potensial utk dibantu dgn AI adlh penghukuman hadits. Asal dilatih dan di feed data dgn benar. https://t.co/2LQzSxnq6w,tuju knp ai buat adlh spy utk mengaugment human intelligence bkn mereplacenya output ai gantung siapa yg desain latih dlm bidang agama salah field yg potensial utk bantu dgn ai adlh hukum hadits asal latih feed data dgn benar,go to why to add spy to know human intelligence can not reap the output of AI hanging who is the design of the training in the field of religion wrong fields to help with AI is the law of the hadith as long as the data feed data correctly,negative
A.I. ada kecerdasan emosi ada fleksibiliti kognitif dan mampu membuat keputusan. Kemahiran A.I. membuat keputusan lebih baik kerana ia dapat mengumpul data dengan banyak &amp; dapat buat algo y lebih baik berbanding manusia. Perkara yang A.I. tak mampu ialah memerintah.,ai cerdas emosi fleksibiliti kognitif mampu buat putus mahir ai buat putus lebih baik rana kumpul data banyak amp buat algo y lebih baik banding manusia perkara ai tak mampu ialah perintah,Ai clever emotions Cognitive flexibility is able to break up Ai to break up Rana collects many amp data for algo y Better human,positive
Tips Memanfaatkan AI Dengan Bijak AI atau Artificial Intelligence adalah bidang ilmu komputer yang mempelajari cara membuat komputer melakukan tugas-tugas yang biasanya dilakukan oleh manusia. - Terapkan Etika AI AI harus digunakan secara etis dan bertanggung jawab. https://t.co/CmN2OLGDL3,tips manfaat ai bijak ai artificial intelligence bidang ilmu komputer ajar cara buat komputer laku tugastugas biasa laku manusia terap etika ai ai guna etis tanggung jawab,Tips for the Benefits of AI Wise AI Artificial Intelligence in the Field of Computer Science Teaching How to Make Computers Laku Tasks Ordinary Human Ethics Ai Ai Ai Ai For Ethical Responsibility,positive
Artificial Intelligence (AI) adalah teknologi yang memungkinkan mesin dan sistem untuk meniru kecerdasan manusia. Dengan kemampuan belajar menganalisis data dan membuat keputusan AI telah menjadi revolusi dalam berbagai industri. https://t.co/bGRjkGGpWq,artificial intelligence ai teknologi mungkin mesin sistem tiru cerdas manusia mampu ajar analis data buat putus ai jadi revolusi bagai industri,Artificial Intelligence AI Technology may be an intelligent manufacturer of human beings able to teach data analysts to break up into a revolution like an industry,positive
Tips Memanfaatkan AI Dengan Bijak AI atau Artificial Intelligence adalah bidang ilmu komputer yang mempelajari cara membuat komputer melakukan tugas-tugas yang biasanya dilakukan oleh manusia. - Terapkan Etika AI AI harus digunakan secara etis dan bertanggung jawab. https://t.co/Vr0TU67c3Y,tips manfaat ai bijak ai artificial intelligence bidang ilmu komputer ajar cara buat komputer laku tugastugas biasa laku manusia terap etika ai ai guna etis tanggung jawab,Tips for the Benefits of AI Wise AI Artificial Intelligence in the Field of Computer Science Teaching How to Make Computers Laku Tasks Ordinary Human Ethics Ai Ai Ai Ai For Ethical Responsibility,positive
KREATIVITAS DI ERA AI Artificial Intelligence pun mengubah industri kreatif: musik literasi lukisan film dan lainnya. Merekam tahap awal datangnya AI dalam 4 lukisan Denny JA dengan asisten AI https://t.co/iIEsRpWaB3,kreativitas era ai artificial intelligence ubah industri kreatif musik literasi lukis film lain rekam tahap awal datang ai lukis denny ja asisten ai,Creativity of the AI ​​Artificial Intelligence Era Change the Creative Industry of Literacy Music Literacy Other Film Records Early Stage Ai Painting Denny Ja Assistant Ai,positive
Amerika sudah bahas Bahaya AI Di +62 masih Sibuk jualan Isue Basi Culak Culik Setiap Jelang Pilpres [BREAKINGNEWS] Kongres AS mengadakan pertemuan tertutup tentang program Kecerdasan Buatan (Artificial Intelligence/AI) bersama @elonmusk Bill Gates Mark Zuckerberg dan https://t.co/3VwpCYky2C,amerika bahas bahaya ai sibuk jual isue basi culak culik jelang pilpres breakingnews kongres as ada temu tutup program cerdas buat artificial intelligenceai sama bill gates mark zuckerberg,America discusses the dangers of AI busy selling folk stale issues ahead of the Breakingnews Pilpres Congress US CLOSE CLOSE PROGRAMS FOR ARTIFICIAL INTELLIGENCEI SAME BILL GATES MARK ZUCKERBERG,negative
Pertanyaan ini ditujukan ke slrh Peserta WEF Davos What do we need so many humans for? Kl AI sdh bisa menggantikan banyak sekali pekerjaan manusia Utk apa manusia begitu banyak? Krn itulah maka Bioweapon disebarkan Perang diciptakan dan Generasi muda dibuat infertil,tanya tuju slrh serta wef davos what do we need so many humans for kl ai sdh ganti banyak sekali kerja manusia utk apa manusia banyak krn bioweapon sebar perang cipta generasi muda buat infertil,Ask the goals of Slrh and wef Davos what do we need so many humans for kl ai has changed a lot of human work for what humans are a lot because bioweapons are the war of the younger generation of war for infertile,positive
Antara kelemahan AI ia tidak ada sistem nilai. Kalau kereta berautonomi hampir nak terlanggar pejalan kaki ia nak elak untuk selamatkan pejalan kaki ke atau langgar pejalan kaki untuk selamatkan penumpang? Manusia kena programkan. Tapi manusia pun ada sistem nilai masing².,lemah ai sistem nilai kalau kereta berautonomi hampir nak langgar pejal kaki nak elak selamat pejal kaki langgar pejal kaki selamat tumpang manusia kena program manusia sistem nilai masing,Weak ai value system if a autonomous car is about to hit the foot to avoid being safe,positive
@Yoimiyes_ - Di dunia voice artis/actor AI ini berbahaya krn udh mulai disalahgunakan untuk mereplika suara para actor2 ini tanpa consent mereka dan sampai saat ini blom ada perlindungannya. https://t.co/ZjZJAxfXJo,dunia voice artisactor ai bahaya krn udh mulai disalahgunakan replika suara actor consent blom lindung,World of Voice Artisactor AI danger because it has begun to be misused by a replica of the voices of actor consent blom protected,neutral
@_casuellenjoyer Gw beneran benci sebenernya ama orang yg beneran ngandelin ai doang instead of ngegunain ai untuk bantu mereka. I kid u not di univ gw jurusan saling banyak banget yang skripsi pake ai and ketara banget yg pake ai tuh gmn.,gw beneran benci sebenernya ama orang yg beneran ngandelin ai doang instead of ngegunain ai bantu i kid u not univ gw jurus saling banyak banget skripsi pake ai and tara banget yg pake ai tuh gmn,"I really hate people who really want to rely on AI, just the instant of the age of helping I kid u not univ univ, the moves are really a lot of thesis using ai and tara who use ai tuh, how about",negative
Antusiasme hari pertama di @Permissionless III! #AI yg terdesentralisasi &amp; pemberdayaan manusia menjadi pusat perhatian bestie! @AutonomysNet sangat antusias melihat upaya kolaboratif yang membentuk masa depan #AI3 dan dampak positifnya terhadap masyarakat.,antusiasme hari pertama iii yg desentralisasi amp daya manusia jadi pusat perhati bestie sangat antusias lihat upaya kolaboratif bentuk masa depan dampak positif masyarakat,Enthusiasm of the first day III which decentralized Human power so the center of pay attention to Bestie was very enthusiastic to see the collaborative efforts of the future of the positive impact of the community,positive
Ada obrolan di antara gua dan temen yg kurang lebih kayak gini. : Designnya bagus itu buat dimana? : oh gua buat di Ai : lucu gitu btw nama website-nya apa? : gada website itu buatnya di Ai : Iya Ai kan. Maksud gw nama web nya gw mau buat juga. : Ai software anjir,obrol gua temen yg kurang lebih kayak gin designnya bagus buat gua buat ai lucu gitu btw nama websitenya apa gada website buat ai iya ai kan maksud gw nama web nya gw mau buat ai software anjir,"Chat my friend who is more or less like a gin design is good for me to make funny ai, btw, the name of the website is the website for ai, right?",positive
Dengan demikian dampak besar nya ialah : permusuhan Semua golongan dan kelompok ; di benturkan oleh entitas dark tersebut. Akhirnya perjuangan yang sebenarnya bisa menjadi luar biasa karena persatuan. Menjadi mustahil dan senjata makan tuan utama bagi kita semua,dampak besar nya ialah musuh semua golong kelompok bentur entitas dark sebut akhir juang benar jadi luar biasa satu jadi mustahil senjata makan tuan utama semua,The big impact is the enemy of all the Golong groups of the Dark Entity Calls the final fighting is really extraordinary so it is impossible for all the main weapons to eat the main master,negative
 Kepala AI Flux Daz Williams ditampilkan dalam artikel @pymnts menyoroti dampak permainan agen #AI dalam perdagangan. Dari solusi terdesentralisasi FluxAI hingga membuat alat AI yang kuat menjadi lebih mudah diakses AI mengubah bisnis https://t.co/ptWrwPngxi... https://t.co/GrnacMYgFb,kepala ai flux daz williams tampil artikel sorot dampak main agen dagang solusi desentralisasi fluxai hingga buat alat ai kuat jadi lebih mudah akses ai ubah bisnis,Head of AI Flux Daz Williams appears highlighted the impact of playing trade agents decentralized fluxai solutions to make strong AI tools so it is easier to access AI changing business,positive
Survei ini dimaksudkan untuk mencari tahu bagaimana Anda memanfaatkan Generative AI di kehidupan sehari-hari. Kami berharap survei ini dapat menggambarkan dampak Generative AI di hari ini maupun masa depan. Link survei: https://t.co/x9CBWlrVXV Periode hingga 17 Mei 2024 https://t.co/i0UK21LUUL,survei maksud cari tahu bagaimana manfaat generative ai hidup seharihari harap survei gambar dampak generative ai hari maupun masa depan link survei periode hingga mei,Survey Intention to Find out how the generative benefits of daily life please survey the Impact of Generative Impacts of the Day and the Future of the Link Survey Period until May,neutral
Studi HP: AI bantu bisnis capai tujuan keberlanjutan &amp; dampak sosial - https://t.co/7WKegAIiPS https://t.co/jurSUOlZ3Q,studi hp ai bantu bisnis capai tuju lanjut amp dampak sosial,HP Study Ai Help Business Achieved Continued Continuing Amp Social Impact,positive
sebagai pustakawan akademik ini selalu jadi bahasan di kelas literasi di perpusku.. bahas jenis &amp; spektrum plagiarisme bentuk sanksi kemungkinan penyebabnya teknis pelaporan via ANJANI studi kasus pencabutan gelar/nilai dampak jangka panjang penggunaan joki (dan AI) dll https://t.co/05xD0QoAYB,pustakawan akademik selalu jadi bahas kelas literasi pus bahas jenis amp spektrum plagiarisme bentuk sanksi mungkin sebab teknis lapor via anjani studi kasus cabut gelarnilai dampak jangka panjang guna joki ai,Academic librarians are always discussing literacy classes PUS Discussion of AMP Spectrum Plagiarism Forms of sanctions may be due to technical reports via anjani cases of cases of Long -Term Impact Receivables,negative
Senang melihat banyaknya diskursus dampak teknologi/sains pada isu etik kesadaran kelas lingkungan &amp; aspek lain yang belakangan marak di media sosial. AI art surrogacy electric mobility dll memang hendaknya dilihat dari berbagai kacamata. Mumpung kita belum terlalu jauh. https://t.co/totfqEKe0k,senang lihat banyak diskursus dampak teknologisains isu etik sadar kelas lingkung amp aspek belakang marak media sosial ai art surrogacy electric mobility memang hendak lihat bagai kacamata mumpung terlalu jauh,"happy to see a lot of discourse on the impact of technologies, ethical issues of awareness of the AMP CLASS CLASS AMP Rear Social Aspects Ai Art Surrogacy Electric Mobility indeed want to see like glasses while too far",positive
Teruntuk @sidushq_ent kami para fans meminta ketegasan kalian untuk melindungi privasi &amp; image #LeeLuDa. Harap agar segera menindak oknum yang membuat gambar AI deepfake terhadap artis kalian yang ditakutkan akan memberi dampak buruk di kemudian hari. #LUDA #IHQ_PROTECT_LUDA https://t.co/xVhG1gfawC,untuk fans minta tegas kalian lindung privasi amp image harap segera tindak oknum buat gambar ai deepfake artis kalian takut beri dampak buruk kemudian hari,"for fans asking for firmly you protect the privacy amp image please immediately act for a person for the AI ​​Deepfake artist's image, you are afraid of giving adverse effects later",negative
Kemarin berbagi pandangan tentang dampak AI bagi pendidikan keragaman di depan guru-guru seantero DIY di Grahatama Pustaka Perpusda. Satu panel dengan prof Amin Abdullah dan prof Tabitha Kartika Christiani. Sangat bersyukur bisa dilibatkan mengedukasi para pendidik hebat ini. https://t.co/FQTJrfypzT,kemarin bagi pandang dampak ai didik ragam depan guruguru antero diy grahatama pustaka perpusda satu panel prof amin abdullah prof tabitha kartika christiani sangat syukur libat edukasi didik hebat,"Yesterday, for the view of the impact of AI Didik Didik in front of the Antero DIY Gruhathama Gruhathama Gruhatama Library of the Panel of Prof. Amin Abdullah Prof. Tabitha Kartika Christiani was very grateful to result in great educational education",positive
Pemanfaatan dan Dampak AI dalam Bidang Pendidikan - A Thread https://t.co/RUMbory6Wf,manfaat dampak ai bidang didik a thread,the benefits of the impact of AI in the field of students a thread,neutral
