conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1719172218188648849,Tue Oct 31 01:59:32 +0000 2023,3997.0,Maybe read this ss again. Penggunaan AI itu harmful banget karena nantinya bisa digunakan buat hal berbahaya termasuk deepfake (mengubah foto atau video muka/badan kalian sebagai orang lain untuk bikin false information) propaganda dan bahkan revenge porn. Kalian ga takut kah? https://t.co/lstBRsYvCE,1719172218188648849,https://pbs.twimg.com/media/F9u6BX3b0AAP_ql.jpg,,in,between pages of books,101,17.0,2228,https://x.com/liviatoures/status/1719172218188648849,1.0107721085681951e+18,liviatoures
1842948097380688125,Sun Oct 06 15:20:41 +0000 2024,20457.0,Kata Dharma AI itu artificial intelligence. Dari kata intelijen alias mata-mata . Jadi AI itu alat mata-mata buatan untuk mengawasi kita. Problem Jakarta yang kompleks dihadapi dengan teori konspirasi. https://t.co/y7EuvOh8rt,1842948097380688125,https://pbs.twimg.com/media/GZN3hvYaoAAeK4r.jpg,,in,"Jakarta Selatan, DKI Jakarta",1553,1281.0,2776,https://x.com/ismailfahmi/status/1842948097380688125,34075325.0,ismailfahmi
1837873384866435563,Sun Sep 22 15:15:35 +0000 2024,281.0,Melihat teman-teman di sekitar terlalu bergantung dengan aplikasi ini benar-benar membuat saya kesal. Saya juga yakin bahwa salah satu penyebab otak kebanyakan masyarakat kita lambat berpikirnya adalah karena terlalu banyak dimanja dengan hal-hal yang sifatnya siap saji https://t.co/oH1a5cwUaT,1837873384866435563,https://pbs.twimg.com/media/GYFwGQkawAA9lfu.jpg,,in,"Bangkalan, Indonesia",7,27.0,14,https://x.com/AghaarXx/status/1837873384866435563,1.1073347864381645e+18,AghaarXx
1844010187889525112,Thu Oct 10 01:07:37 +0000 2024,0.0,ㅤ Yang paling kena dampaknya mungkin di sektor kayak 𝘮𝘢𝘯𝘶𝘧𝘢𝘤𝘵𝘶𝘳𝘪𝘯𝘨 𝘵𝘳𝘢𝘯𝘴𝘱𝘰𝘳𝘵𝘢𝘵𝘪𝘰𝘯 𝘤𝘶𝘴𝘵𝘰𝘮𝘦𝘳 𝘴𝘦𝘳𝘷𝘪𝘤𝘦 dan lainnya. 𝘉𝘶𝘵 𝘈𝘐 𝘪𝘴 𝘢𝘭𝘴𝘰 𝘤𝘳𝘦𝘢𝘵𝘪𝘯𝘨 𝘯𝘦𝘸 𝘰𝘱𝘱𝘰𝘳𝘵𝘶𝘯𝘪𝘵𝘪𝘦𝘴! ㅤ https://t.co/vZExfU7pmA,1844182967528325467,https://pbs.twimg.com/media/GZfaorDaAAEUX-U.jpg,nonaked,in,"⠀
⠀
""𝑩𝒖𝒕 𝒅𝒂𝒓𝒍, 𝒕𝒉𝒆𝒓𝒆'𝒔 𝒏𝒐 𝒃𝒐𝒏𝒅 𝒔𝒕𝒓𝒐𝒏𝒈𝒆𝒓 𝒕𝒉𝒂𝒏 𝒕𝒉𝒆 𝒐𝒏𝒆 𝒃𝒆𝒕𝒘𝒆𝒆𝒏 𝒘𝒐𝒎𝒂𝒏 𝒂𝒏𝒅 𝒂 𝒃𝒍𝒂𝒄𝒌 𝒈𝒐𝒂𝒕""
⠀
⠀",0,1.0,0,https://x.com/nonaked/status/1844182967528325467,1.2892318771783967e+18,nonaked
1751783611014238267,Mon Jan 29 03:19:09 +0000 2024,687.0,Bayangin urusan riil problema AI: - pengembangannya tidak etis mencuri karya seniman - berkurangnya pekerjaan artist - AI memudahkan narasi hoax - dan problem etis / legal lain Gak ada yang terbahas tapi malah jadi kesempatan untuk merundung ramai2. Mentalitas MOB https://t.co/Ev7Ol320Qz,1751807163146609051,https://pbs.twimg.com/media/GE-rU6tbcAAyjU_.jpg,mosmarth,in,"ÜT: -6.298036,106.841224",27,3.0,124,https://x.com/mosmarth/status/1751807163146609051,36053518.0,mosmarth
1843447588189811122,Tue Oct 08 00:25:29 +0000 2024,3.0,Tujuan knp AI itu dibuat adlh spy utk meng-augment human intelligence bkn me-replacenya. Output AI tergantung siapa yg mendesain dan melatihnya. Dlm bidang agama salah 1 field yg potensial utk dibantu dgn AI adlh penghukuman hadits. Asal dilatih dan di feed data dgn benar. https://t.co/2LQzSxnq6w,1843447588189811122,https://pbs.twimg.com/media/GZU9zvoboAAp8mo.jpg,,in,"Yogyakarta, Indonesia",0,1.0,0,https://x.com/adityabss/status/1843447588189811122,105785818.0,adityabss
1181011378334621699,Mon Oct 07 01:00:29 +0000 2019,2649.0,A.I. ada kecerdasan emosi ada fleksibiliti kognitif dan mampu membuat keputusan. Kemahiran A.I. membuat keputusan lebih baik kerana ia dapat mengumpul data dengan banyak &amp; dapat buat algo y lebih baik berbanding manusia. Perkara yang A.I. tak mampu ialah memerintah.,1181011378334621699,,,in,"Shah Alam, Selangor, Malaysia",109,41.0,2524,https://x.com/zamirmohyedin/status/1181011378334621699,1149951007.0,zamirmohyedin
1844161451054989591,Wed Oct 09 23:42:07 +0000 2024,0.0,Tips Memanfaatkan AI Dengan Bijak AI atau Artificial Intelligence adalah bidang ilmu komputer yang mempelajari cara membuat komputer melakukan tugas-tugas yang biasanya dilakukan oleh manusia. - Terapkan Etika AI AI harus digunakan secara etis dan bertanggung jawab. https://t.co/CmN2OLGDL3,1844161451054989591,https://pbs.twimg.com/media/GZfHBVtboAA8KSC.jpg,,in,,0,0.0,0,https://x.com/HumasGarut/status/1844161451054989591,1.2941270030675436e+18,HumasGarut
1843665700692603140,Tue Oct 08 14:52:54 +0000 2024,0.0,Artificial Intelligence (AI) adalah teknologi yang memungkinkan mesin dan sistem untuk meniru kecerdasan manusia. Dengan kemampuan belajar menganalisis data dan membuat keputusan AI telah menjadi revolusi dalam berbagai industri. https://t.co/bGRjkGGpWq,1843665880066232550,https://pbs.twimg.com/media/GZYEV9ubcAAHh16.jpg,kominfobogor,in,Kota Bogor - Jawa Barat,0,1.0,0,https://x.com/kominfobogor/status/1843665880066232550,2479106588.0,kominfobogor
1843987319948505515,Wed Oct 09 12:10:11 +0000 2024,0.0,Tips Memanfaatkan AI Dengan Bijak AI atau Artificial Intelligence adalah bidang ilmu komputer yang mempelajari cara membuat komputer melakukan tugas-tugas yang biasanya dilakukan oleh manusia. - Terapkan Etika AI AI harus digunakan secara etis dan bertanggung jawab. https://t.co/Vr0TU67c3Y,1843987319948505515,https://pbs.twimg.com/media/GZcorzZa4AAWQQ0.jpg,,in,polsek karangampel,0,0.0,0,https://x.com/sek_karangampel/status/1843987319948505515,9.883236660300472e+17,sek_karangampel
