,username,full_text,tweet_clean,english_text,label
0,aimr0d,Kecerdasan buatan ketika dipertemukan kedunguan alami https://t.co/ewT2hcOkzS,kecerdasan buatan dipertemukan kedunguan alami,artificial intelligence meets natural stupidity,negative
1,blue_berets7,USA Elon Musk: Chip Neuralink Antichrist akan segera muncul Tujuan dari proyek Neuralink adalah untuk mengembangkan chip dengan dukungan kecerdasan buatan yang dapat ditanamkan ke dalam otak manusia! https://t.co/f7715ppPky,usa elon musk chip neuralink antichrist muncul tujuan proyek neuralink mengembangkan chip dukungan kecerdasan buatan ditanamkan otak manusia,usa elon musk antichrist neuralink chip emerges neuralink project goal develops artificial intelligence support chip implanted in the human brain,negative
2,JapenPahang,Kapsul JAPENTV | AI Untuk Rakyat AI Untuk Rakyat - Program pembelajaran kendiri dalam talian yang direka untuk meningkatkan kesedaran orang ramai tentang Kecerdasan Buatan - Artificial Intelligence (AI). Ia bertujuan untuk memberi penjelasan tentang AI kepada masyarakat. https://t.co/pyiFRoOH9Q,kapsul japentv ai rakyat ai rakyat program pembelajaran kendiri talian direka meningkatkan kesedaran orang ramai kecerdasan buatan artifici intellig ai bertujuan penjelasan ai masyarakat,capsule japentv ai rakyat ai rakyat online self-learning program designed to increase public awareness artificial intelligence artifici intellig ai aims explanation ai society,negative
3,andricuanterus,Bittensor $TAO Fundamental INTRO: Bittensor ($TAO) adalah protokol machine learning terdesentralisasi yang memungkinkan pertukaran kemampuan kecerdasan buatan antar pengguna jaringannya. Tujuannya adalah agar industri yang sedang booming saat ini yaitu Machine Learning dan https://t.co/puB88RtVsn,bittensor tao fundament intro bittensor tao protokol machin learn terdesentralisasi pertukaran kemampuan kecerdasan buatan pengguna jaringannya tujuannya industri boom machin learn,bittensor tao fundament intro bittensor tao decentralized machin learn protocol exchange artificial intelligence capabilities user network its goal industry boom machin learn,negative
4,JPenerangan,Kapsul JAPENTV | AI Untuk Rakyat AI Untuk Rakyat - Program pembelajaran kendiri dalam talian yang direka untuk meningkatkan kesedaran orang ramai tentang Kecerdasan Buatan - Artificial Intelligence (AI). Ia bertujuan untuk memberi penjelasan tentang AI kepada semua - https://t.co/SHmQKnKuKz,kapsul japentv ai rakyat ai rakyat program pembelajaran kendiri talian direka meningkatkan kesedaran orang ramai kecerdasan buatan artifici intellig ai bertujuan penjelasan ai,japentv capsule AI people AI people online independent learning program designed to increase public awareness artificial intelligence artificial intelligence aims to explain AI,negative
5,JPenerangan,Perdana Menteri YAB Dato' Seri Anwar Ibrahim berkata peruntukan itu selaras dengan seruan agar warga media turut sama mendalami dan menguasai penggunaan teknologi termasuk Kecerdasan Buatan (AI) ketika menjalankan tugasan mereka. #MalaysiaMADANI #JabatanPenerangan https://t.co/7FYkj7a0tK,perdana menteri yab dato seri anwar ibrahim peruntukan selara seruan warga media mendalami menguasai penggunaan teknolog kecerdasan buatan ai menjalankan tugasan malaysiamadani jabatanpenerangan,"Prime Minister Yab Dato Seri Anwar Ibrahim said that following the call of members of the media, they will learn to master the use of AI artificial intelligence technology in carrying out their duties in Malaysia.",negative
6,neohistoria_id,Kawan kita satu ini benar-benar mengira Neo Historia adalah media elit global. Padahal pesannya sederhana buat mas @gibran_tweet Hargai seniman manusia. Hormati seni yang dibuat oleh tangan manusia. Paslon 02 sudah sangat notorious dengan penggunaan kecerdasan buatan yang,kawan benarbenar neo historia media elit global pesannya sederhana ma hargai seniman manusia hormati seni tangan manusia paslon notori penggunaan kecerdasan buatan,friends really neo historia global elite media the message is simple ma respect human artists respect art the human hand candidate pair notori use of artificial intelligence,negative
7,PenangJapen,Perdana Menteri YAB Dato' Seri Anwar Ibrahim berkata peruntukan itu selaras dengan seruan agar warga media turut sama mendalami dan menguasai penggunaan teknologi termasuk Kecerdasan Buatan (AI) ketika menjalankan tugasan mereka. #MalaysiaMADANI #JabatanPenerangan #JAPENPenang https://t.co/mQTwrAYJlS,perdana menteri yab dato seri anwar ibrahim peruntukan selara seruan warga media mendalami menguasai penggunaan teknolog kecerdasan buatan ai menjalankan tugasan malaysiamadani jabatanpenerangan japenpenang,"Prime Minister Yab Dato Seri Anwar Ibrahim, the media citizen's appeal to deepen the use of artificial intelligence technology AI, carry out the duties of Malaysia Civil Service, Information Office, Japan Penang",negative
8,JPenerangan,Kapsul JAPENTV | AI Untuk Rakyat Program pembelajaran kendiri dalam talian yang direka untuk meningkatkan kesedaran orang ramai tentang Kecerdasan Buatan - Artificial Intelligence (AI). Ia bertujuan untuk memberi penjelasan tentang AI kepada semua lapisan masyarakat. https://t.co/M9amVm1Guw,kapsul japentv ai rakyat program pembelajaran kendiri talian direka meningkatkan kesedaran orang ramai kecerdasan buatan artifici intellig ai bertujuan penjelasan ai lapisan masyarakat,japentv AI capsule online independent learning program designed to increase public awareness artificial intelligence artificial intelligence aimed at explaining AI levels of society,negative
9,anwaribrahim,Tugasan pada hari Jumaat penuh berkat dimulakan dengan menghadiri seraya merasmikan Majlis Malaysia Artificial Intelligence (AI) Nexus 2024 Boosting the Future (MY AI NEXUS) hari ini. Saya sempat juga melancarkan Fakulti Kecerdasan Buatan Universiti Teknologi Malaysia (UTM) https://t.co/jNDjz0rBMM,tugasan jumaat penuh berkat dimulakan menghadiri seraya merasmikan majli malaysia artifici intellig ai nexu boost the futur my ai nexu melancarkan fakulti kecerdasan buatan univers teknolog malaysia utm,Blessing Friday assignments begin attending and inaugurating majli malaysia artifici intellig ai nexu boost the future my ai nexu launches the faculty of artificial intelligence university of teknologi malaysia utm,negative
10,SemasaNewsMY,Terdapat kekecohan apabila teknologi kecerdasan buatan (AI) digunakan untuk meniru suara dan wajah selebriti bagi melariskan produk seperti yang berlaku kepada Datuk Seri Siti Nurhaliza dan Datuk Aaron Aziz yang 'dilihat' menjual seluar dalam di media sosial. #SemasaNewsMY https://t.co/VUqdPtrgXx,kekecohan teknolog kecerdasan buatan ai meniru suara wajah selebr melariskan produk berlaku datuk seri siti nurhaliza datuk aaron aziz menjual seluar media sosial semasanewsmi,artificial intelligence technology ai imitates celebrity's voice and face selling products apply datuk seri siti nurhaliza datuk aaron aziz sells pants social media semasanewsmi,negative
11,xfa_ai,Di era saat ini yang berpusat pada kecerdasan buatan (AI) kekuatan komputasi telah menjadi kekuatan pendorong penting bagi kemajuan AI. Ketika berbagai platform meluncurkan berbagai model berskala besar permintaan akan kekuatan komputasi dalam fase pelatihan dan penerapan https://t.co/0eCsirvm12,era berpusat kecerdasan buatan ai kekuatan komputasi kekuatan pendorong kemajuan ai platform meluncurkan model berskala permintaan kekuatan komputasi fase pelatihan penerapan,era centered artificial intelligence ai computing power driving force progress ai platform launches scaled model computing power demand deployment training phase,negative
12,beritartm,Portal My-AI yang merupakan portal nasional pertama dalam talian mengandungi sumber dan isu-isu kecerdasan buatan (AI) dilancar secara rasminya hari ini. https://t.co/uM2BAhARbB 'Yang sahih di Berita RTM' #RTM #BeritaRTM #MalaysiaMADANI https://t.co/GPm4dGWsox,portal myai portal nasion talian mengandungi sumber isuisu kecerdasan buatan ai dilancar rasminya sahih berita rtm rtm beritartm malaysiamadani,myai portal online national portal containing sources of artificial intelligence issues ai officially launched authentic rtm news rtm Beritartm malaysiamadani,negative
13,mysrtmz, Affirmative no! - PM Anwar Pastinya tidak! Pastinya tidak untuk kasino lagi dalam negara kita. TIDAK PERLU! Kita yakin dengan 3 bidang ini untuk pacu pertumbuhan ekonomi negara: 1. Transformasi Digital 2. Peralihan Tenaga 3. Kecerdasan Buatan(AI) Ingat 3 bidang ini https://t.co/lWmpZl6OiW,affirm no pm anwar pastinya pastinya kasino negara bidang pacu pertumbuhan ekonomi negara transformasi digit peralihan tenaga kecerdasan buatanai bidang,"affirm no pm anwar of course the country's casino sector spurs the country's economic growth, digital transformation, transition of artificial intelligence power to the field",negative
14,JPenerangan,Berikut merupakan empat teras ekosistem teknologi kecerdasan buatan AI. Rujuk pautan AI Untuk Rakyat https://t.co/eDKkd084gi. untuk maklumat lanjut. #MalaysiaMADANI #JabatanPenerangan https://t.co/aLI09b8QJc,tera ekosistem teknolog kecerdasan buatan ai rujuk pautan ai rakyat maklumat malaysiamadani jabatanpenerangan,tera ecosystem technology artificial intelligence ai reference ai people information malaysiamadani jasapenenangan,negative
15,MySamudera,Paul Biggar pengasas Tech for Palestine dari New York AS mengungkap melalui wawancara dengan Press TV bahwa WhatsApp didakwa bekerjasama dengan program kecerdasan buatan (AI) Israel seperti Lavender Where's Daddy untuk menyasarkan individu yang dicurigai sebagai pejuang Hamas https://t.co/rxw3lmEE9s,paul biggar pengasa tech for palestin new york as mengungkap wawancara press tv whatsapp didakwa bekerjasama program kecerdasan buatan ai israel lavend where daddi menyasarkan individu dicurigai pejuang hama,Paul Biggar Pengasa Tech for Palestine New York US reveals Press TV WhatsApp interview accused of collaborating with Israeli Artificial Intelligence Program Lavend Where Daddi Targets Individuals Suspected of Pest Fighters,negative
16,dccomm_gov,BINA EKOSISTEM AI SEGERAKAN RENCANA PENDEKATAN PENDIDIKAN YAB Datuk Seri Anwar Ibrahim Perdana Menteri 1. Perdana Menteri Datuk Seri Anwar Ibrahim menggesa semua pihak termasuk di peringkat universiti untuk membina dan memperkukuhkan ekosistem kecerdasan buatan (AI). https://t.co/ZAeALvtIiT,bina ekosistem ai segerakan rencana pendekatan pendidikan yab datuk seri anwar ibrahim perdana menteri perdana menteri datuk seri anwar ibrahim menggesa peringkat univers membina memperkukuhkan ekosistem kecerdasan buatan ai,foster ai ecosystem accelerates education approach plan yab datuk seri anwar ibrahim prime minister prime minister datuk seri anwar ibrahim urges university rankings foster strengthens ai artificial intelligence ecosystem,negative
17,officialmosti,YB Dato' Haji Mohammad Yusof Apdal Timbalan Menteri Sains Teknologi dan Inovasi hari ini melancarkan Portal MY-AI di MIMOS Berhad. Portal MY-AI adalah sebuah portal nasional pertama dalam talian mengenai sumber dan isu-isu kecerdasan buatan atau Artificial Intelligence (AI). https://t.co/vNjzCMWMhX,yb dato haji mohammad yusof apdal timbalan menteri sain teknolog inovasi melancarkan portal myai mimo berhad portal myai portal nasion talian sumber isuisu kecerdasan buatan artifici intellig ai,yb dato haji mohammad yusof apdal deputy minister of science technology innovation launched myai portal mimo berhad myai portal nasion portal online source of artificial intelligence issues artifici intellig ai,negative
18,XavierNaxa,Berikut merupakan strategi Apple terhadap Kecerdasan Buatan (AI). - Model bahasa besar (LLM) pada peranti [dalaman] - LLM awan (cloud) [dalaman] - Chatbot [Open AI kemungkinan Google] Sumber : Mark Gurman https://t.co/5RFkM8IfES,strategi appl kecerdasan buatan ai model bahasa llm peranti dalaman llm awan cloud dalaman chatbot open ai googl sumber mark gurman,appl strategy artificial intelligence ai language model llm internal tools llm cloud internal cloud chatbot open ai googl source mark gurman,negative
19,yan_widjaya,*Wajah Para Pahlawan Nasional* Versi AI - Artificial Intelligence Kecerdasan Buatan Komputer Hari Kebangkitan Nasional Ultah ke 116 Boedi Oetomo 20 Mei 1908 - 20 Mei 2024 https://t.co/cadRQFDGj2,wajah pahlawan nasion versi ai artifici intellig kecerdasan buatan komput kebangkitan nasion ultah boedi oetomo mei mei,face of national hero version ai artificial intelligence artificial intelligence computer national awakening boedi oetomo birthday mei mei,negative
20,MOHEOfficial,[VIDEO] Kementerian Pendidikan Tinggi (KPT) dengan kerjasama Universiti Teknologi Malaysia (UTM) akan menubuhkan Fakulti Kecerdasan Buatan (FAI) yang pertama di Malaysia sebagai salah satu daripada usaha memenuhi keperluan kontemporari AI negara. https://t.co/cz9hpaSdK3,video kementerian pendidikan kpt kerjasama univers teknolog malaysia utm menubuhkan fakulti kecerdasan buatan fai malaysia salah usaha memenuhi keperluan kontemporari ai negara,Video Ministry of Education KPT Collaboration of Malaysian Technological Universities UTM establishes Faculty of Artificial Intelligence FAI Malaysia in an effort to meet the country's contemporary AI needs,negative
