,Unnamed: 0,username,full_text,tweet_clean,english_text,sentiment,label
0,0,liviatoures,Maybe read this ss again. Penggunaan AI itu harmful banget karena nantinya bisa digunakan buat hal berbahaya termasuk deepfake (mengubah foto atau video muka/badan kalian sebagai orang lain untuk bikin false information) propaganda dan bahkan revenge porn. Kalian ga takut kah? https://t.co/lstBRsYvCE,maybe read this ss again  guna ai harmful banget bahaya deepfake  ubah foto video muka badan orang bikin false information  propaganda revenge porn  ga takut kah ,"maybe read this ss again using ai is very harmful, the dangers of deepfake are changing photos, videos, faces, bodies, making false information, propaganda, revenge porn, aren't you afraid?",-0.225,negative
1,1,ismailfahmi,Kata Dharma AI itu artificial intelligence. Dari kata intelijen alias mata-mata . Jadi AI itu alat mata-mata buatan untuk mengawasi kita. Problem Jakarta yang kompleks dihadapi dengan teori konspirasi. https://t.co/y7EuvOh8rt,dharma ai artificial intelligence  intelijen alias mata  ai alat mata buat awas  problem jakarta kompleks hadap teori konspirasi ,dharma ai artificial intelligence intelligence alias mata ai eye tool to watch out for complex Jakarta problems facing conspiracy theories,-0.4499999999999999,negative
2,2,AghaarXx,Melihat teman-teman di sekitar terlalu bergantung dengan aplikasi ini benar-benar membuat saya kesal. Saya juga yakin bahwa salah satu penyebab otak kebanyakan masyarakat kita lambat berpikirnya adalah karena terlalu banyak dimanja dengan hal-hal yang sifatnya siap saji https://t.co/oH1a5cwUaT,teman gantung aplikasi benar kesal  salah sebab otak banyak masyarakat lambat pikir manja hal sifat saji,friends hang application right annoyed wrong because many people's brains are slow to think spoiled things nature serving,-0.0828571428571428,negative
3,3,nonaked,ㅤ Yang paling kena dampaknya mungkin di sektor kayak 𝘮𝘢𝘯𝘶𝘧𝘢𝘤𝘵𝘶𝘳𝘪𝘯𝘨 𝘵𝘳𝘢𝘯𝘴𝘱𝘰𝘳𝘵𝘢𝘵𝘪𝘰𝘯 𝘤𝘶𝘴𝘵𝘰𝘮𝘦𝘳 𝘴𝘦𝘳𝘷𝘪𝘤𝘦 dan lainnya. 𝘉𝘶𝘵 𝘈𝘐 𝘪𝘴 𝘢𝘭𝘴𝘰 𝘤𝘳𝘦𝘢𝘵𝘪𝘯𝘨 𝘯𝘦𝘸 𝘰𝘱𝘱𝘰𝘳𝘵𝘶𝘯𝘪𝘵𝘪𝘦𝘴! ㅤ https://t.co/vZExfU7pmA, kena dampak sektor kayak              ,affected by the kayak sector,0.0,neutral
4,4,mosmarth,Bayangin urusan riil problema AI: - pengembangannya tidak etis mencuri karya seniman - berkurangnya pekerjaan artist - AI memudahkan narasi hoax - dan problem etis / legal lain Gak ada yang terbahas tapi malah jadi kesempatan untuk merundung ramai2. Mentalitas MOB https://t.co/Ev7Ol320Qz,bayangin urus riil problema ai   kembang etis curi karya seniman  kurang kerja artist  ai mudah narasi hoax  problem etis  legal gak bahas sempat rundung ramai  mentalitas mob,imagine real problem of AI flower ethical stealing artist's work lack of work artist AI easy narrative hoax ethical problem legal not discussed had time to be bullied mob mentality,0.2466666666666666,positive
5,5,adityabss,Tujuan knp AI itu dibuat adlh spy utk meng-augment human intelligence bkn me-replacenya. Output AI tergantung siapa yg mendesain dan melatihnya. Dlm bidang agama salah 1 field yg potensial utk dibantu dgn AI adlh penghukuman hadits. Asal dilatih dan di feed data dgn benar. https://t.co/2LQzSxnq6w,tuju knp ai adlh spy utk mengaugment human intelligence bkn mereplacenya  output ai gantung yg desain latih  dlm bidang agama salah  field yg potensial utk bantu dgn ai adlh hukum hadits  latih feed data dgn ,"the purpose of AI is to augment human intelligence, not replace it. The output of AI is hanging, which is designed to train in the field of religion. One of the potential fields to help with AI is Hadith law. Train data feeds with",0.0,neutral
6,6,zamirmohyedin,A.I. ada kecerdasan emosi ada fleksibiliti kognitif dan mampu membuat keputusan. Kemahiran A.I. membuat keputusan lebih baik kerana ia dapat mengumpul data dengan banyak &amp; dapat buat algo y lebih baik berbanding manusia. Perkara yang A.I. tak mampu ialah memerintah.,a i  cerdas emosi fleksibiliti kognitif putus  mahir a i  putus rana kumpul data  amp  algo y banding manusia  perkara a i  perintah ,ai intelligent emotional cognitive flexibility intelligent ai intelligent data collection amp algo y human appeal a i command,0.4800000000000001,positive
7,7,HumasGarut,Tips Memanfaatkan AI Dengan Bijak AI atau Artificial Intelligence adalah bidang ilmu komputer yang mempelajari cara membuat komputer melakukan tugas-tugas yang biasanya dilakukan oleh manusia. - Terapkan Etika AI AI harus digunakan secara etis dan bertanggung jawab. https://t.co/CmN2OLGDL3,tips manfaat ai bijak ai artificial intelligence bidang ilmu komputer ajar komputer tugas manusia   terap etika ai ai etis tanggung ,tips benefits of ai wise ai artificial intelligence computer science field teach computers human tasks ai ethics ai ethical responsibility,0.075,positive
8,8,kominfobogor,Artificial Intelligence (AI) adalah teknologi yang memungkinkan mesin dan sistem untuk meniru kecerdasan manusia. Dengan kemampuan belajar menganalisis data dan membuat keputusan AI telah menjadi revolusi dalam berbagai industri. https://t.co/bGRjkGGpWq,artificial intelligence  ai  teknologi mesin sistem tiru cerdas manusia  mampu ajar analis data putus ai revolusi industri ,artificial intelligence ai technology machine system intelligent human imitation able to teach data analyst break up ai industrial revolution,0.1133333333333333,positive
9,9,sek_karangampel,Tips Memanfaatkan AI Dengan Bijak AI atau Artificial Intelligence adalah bidang ilmu komputer yang mempelajari cara membuat komputer melakukan tugas-tugas yang biasanya dilakukan oleh manusia. - Terapkan Etika AI AI harus digunakan secara etis dan bertanggung jawab. https://t.co/Vr0TU67c3Y,tips manfaat ai bijak ai artificial intelligence bidang ilmu komputer ajar komputer tugas manusia   terap etika ai ai etis tanggung ,tips benefits of ai wise ai artificial intelligence computer science field teach computers human tasks ai ethics ai ethical responsibility,0.075,positive
10,10,DennyJA_WORLD,KREATIVITAS DI ERA AI Artificial Intelligence pun mengubah industri kreatif: musik literasi lukisan film dan lainnya. Merekam tahap awal datangnya AI dalam 4 lukisan Denny JA dengan asisten AI https://t.co/iIEsRpWaB3,kreativitas era ai artificial intelligence ubah industri kreatif  musik literasi lukis film  rekam tahap datang ai  lukis denny ja asisten ai,creativity era ai artificial intelligence change creative industry music literacy painting film recording stage coming ai painting denny ja ai assistant,-0.0499999999999999,negative
11,11,Heraloebss,Amerika sudah bahas Bahaya AI Di +62 masih Sibuk jualan Isue Basi Culak Culik Setiap Jelang Pilpres [BREAKINGNEWS] Kongres AS mengadakan pertemuan tertutup tentang program Kecerdasan Buatan (Artificial Intelligence/AI) bersama @elonmusk Bill Gates Mark Zuckerberg dan https://t.co/3VwpCYky2C,amerika bahas bahaya ai  sibuk jual isue basi culak culik jelang pilpres  breakingnews  kongres as ada temu tutup program cerdas buat  artificial intelligence ai  bill gates mark zuckerberg,"America discusses the dangers of AI, busy selling stale issues, kidnapping ahead of the presidential election, breaking news, US Congress has a meeting to close down the smart program for artificial intelligence AI, Bill Gates, Mark Zuckerberg",-0.1882539682539682,negative
12,12,DokterTifa,Pertanyaan ini ditujukan ke slrh Peserta WEF Davos What do we need so many humans for? Kl AI sdh bisa menggantikan banyak sekali pekerjaan manusia Utk apa manusia begitu banyak? Krn itulah maka Bioweapon disebarkan Perang diciptakan dan Generasi muda dibuat infertil,slrh serta wef davos what do we need so many humans for  kl ai sdh ganti kerja manusia utk manusia  krn bioweapon sebar perang cipta generasi muda infertil,slrh and wef davos what do we need so many humans for kl ai has changed human work for humans because bioweapons spread war creating infertile young generations,0.1999999999999999,positive
13,13,zamirmohyedin,Antara kelemahan AI ia tidak ada sistem nilai. Kalau kereta berautonomi hampir nak terlanggar pejalan kaki ia nak elak untuk selamatkan pejalan kaki ke atau langgar pejalan kaki untuk selamatkan penumpang? Manusia kena programkan. Tapi manusia pun ada sistem nilai masing².,lemah ai sistem nilai  kereta berautonomi nak langgar pejal kaki nak elak selamat pejal kaki langgar pejal kaki selamat tumpang  manusia kena program  manusia sistem nilai masing ,weak ai autonomous train value system want to break the pedestrians want to avoid safe pedestrians breaking the pedestrians safe ride humans are subject to human programming each value system,0.1430555555555555,positive
14,14,harbingernyako,@Yoimiyes_ - Di dunia voice artis/actor AI ini berbahaya krn udh mulai disalahgunakan untuk mereplika suara para actor2 ini tanpa consent mereka dan sampai saat ini blom ada perlindungannya. https://t.co/ZjZJAxfXJo, dunia voice artis actor ai bahaya krn udh disalahgunakan replika suara actor consent blom lindung ,"The world of voice actors is dangerous because it has been misused, voice replicas of actors have not been protected by consent",-0.6,negative
15,15,in_videotape,@_casuellenjoyer Gw beneran benci sebenernya ama orang yg beneran ngandelin ai doang instead of ngegunain ai untuk bantu mereka. I kid u not di univ gw jurusan saling banyak banget yang skripsi pake ai and ketara banget yg pake ai tuh gmn.,gw beneran benci sebenernya ama orang yg beneran ngandelin ai doang instead of ngegunain ai bantu  i kid u not univ gw jurus banget skripsi pake ai and tara banget yg pake ai tuh gmn ,I really hate people who really rely on AI instead of using AI to help me. I kid you're not my university. I'm really good at using AI for my thesis and what about those who use AI?,0.0333333333333332,positive
16,16,Stevaniar06,Antusiasme hari pertama di @Permissionless III! #AI yg terdesentralisasi &amp; pemberdayaan manusia menjadi pusat perhatian bestie! @AutonomysNet sangat antusias melihat upaya kolaboratif yang membentuk masa depan #AI3 dan dampak positifnya terhadap masyarakat.,antusiasme iii  yg desentralisasi  amp  daya manusia pusat perhati bestie  antusias upaya kolaboratif bentuk dampak positif masyarakat ,enthusiasm iii which is decentralized amp human resources center of attention bestie enthusiasm collaborative efforts form positive impact society,0.0424242424242424,positive
